id_cliente,pais,genero,idade,anos_cliente,saldo_conta,numero_produtos,cartao_credito,salario_estimado,saiu,escore_credito
15737888,Espanha,Feminino,43,2,125510.82,1,Sim,79084.1,0,850
15574012,Espanha,Masculino,44,8,113755.78,2,Sim,149756.71,1,645
15592531,França,Masculino,50,7,0,2,Sim,10062.8,0,822
15656148,Alemanha,Feminino,29,4,115046.74,4,Sim,119346.88,1,376
15592389,França,Masculino,27,2,134603.88,1,Sim,71725.73,0,684
15661507,Espanha,Masculino,45,6,0,1,Não,158684.81,0,587
15597945,Espanha,Feminino,32,8,0,2,Sim,138555.46,0,636
15699309,Espanha,Feminino,38,4,0,1,Sim,118913.53,1,510
15738191,França,Masculino,25,3,0,2,Não,124508.29,0,577
15717426,França,Masculino,36,7,0,1,Sim,40812.9,0,850
15619360,Espanha,Masculino,40,4,0,1,Sim,70154.22,0,472
15760861,França,Masculino,43,1,125211.92,1,Sim,113410.49,0,619
15651280,Alemanha,Masculino,35,5,136857,1,Não,84509.57,0,742
15592461,Alemanha,Masculino,26,4,109166.37,1,Sim,92840.67,0,603
15770811,França,Masculino,36,9,0,2,Não,145562.4,0,519
15701164,França,Feminino,34,4,90307.62,1,Sim,159235.29,0,506
15805254,Espanha,Feminino,75,10,0,2,Sim,114675.75,0,652
15675522,Alemanha,Feminino,30,9,132351.29,2,Sim,74169.13,0,628
15705512,Alemanha,Feminino,37,6,167864.4,1,Sim,115638.29,0,668
15698028,França,Feminino,41,1,0,2,Sim,31766.3,0,506
15760085,Alemanha,Feminino,48,10,126384.42,1,Sim,198129.36,0,684
15627360,França,Masculino,42,9,152603.45,1,Sim,110265.24,1,432
15671137,França,Feminino,52,1,0,1,Não,8636.05,1,549
15740404,França,Feminino,34,3,0,2,Sim,124226.16,0,758
15610156,França,Masculino,40,2,133463.1,1,Não,93165.34,0,637
15800703,Espanha,Feminino,21,5,113157.22,1,Sim,54141.5,0,485
15754105,França,Masculino,37,5,106967.18,1,Não,24495.03,0,650
15709368,França,Feminino,43,6,0,2,Sim,109041.53,0,614
15804017,Alemanha,Feminino,33,4,123246.7,1,Não,112687.57,0,631
15641122,França,Masculino,30,2,0,2,Sim,83473.82,0,684
15630910,França,Feminino,49,7,108007.36,1,Não,47125.11,0,800
15587421,Alemanha,Feminino,34,7,111388.18,2,Sim,148564.76,0,687
15702741,França,Masculino,32,8,93012.89,1,Sim,86957.42,0,601
15777892,Alemanha,Masculino,37,3,107720.64,1,Sim,158591.12,0,721
15604482,Espanha,Masculino,30,2,141040.01,1,Sim,5978.2,0,850
15622911,França,Masculino,42,4,105420.18,1,Não,121409.06,0,759
15627801,Espanha,Masculino,33,3,176666.62,1,Sim,94670.77,0,512
15594917,França,Feminino,34,1,63095.01,1,Sim,40645.81,0,676
15699029,França,Masculino,37,4,170557.91,2,Sim,198252.88,0,670
15774393,França,Feminino,30,9,0,2,Sim,26960.31,0,694
15704769,França,Feminino,67,5,113978.97,2,Não,93146.11,0,585
15711540,França,Feminino,29,2,0,1,Sim,144375,0,712
15651001,Alemanha,Feminino,39,5,116803.8,1,Sim,124052.97,0,725
15596175,Alemanha,Masculino,67,6,117411.6,1,Sim,45071.09,1,659
15576269,Espanha,Masculino,34,7,0,2,Sim,62030.06,0,523
15713853,Alemanha,Masculino,42,9,108748.08,2,Sim,65323.11,0,732
15673481,Espanha,Feminino,48,6,99906.19,1,Sim,64323.24,0,726
15700696,Espanha,Masculino,31,9,79019.8,1,Sim,18606.23,0,738
15799217,Alemanha,Feminino,35,7,52436.2,1,Sim,161051.75,0,791
15787071,Espanha,Masculino,41,9,0,2,Não,191599.67,0,650
15694456,França,Masculino,62,3,0,1,Sim,11199.04,1,756
15767339,França,Feminino,53,10,0,2,Sim,189992.97,0,777
