id_cliente,pais,genero,idade,anos_cliente,saldo_conta,numero_produtos,cartao_credito,salario_estimado,saiu,escore_credito
15687492,Alemanha,Masculino,32,3,96709.07,2,Não,41788.37,0,596
15736963,França,Masculino,43,1,0,2,Sim,146379.3,0,623
15721730,Espanha,Feminino,44,4,0,2,Sim,58561.31,0,601
15762134,Alemanha,Masculino,59,8,119152.1,2,Sim,170679.74,0,506
15648898,Espanha,Feminino,27,7,124995.98,1,Sim,114669.79,0,560
15659064,Espanha,Masculino,37,8,0,2,Sim,149418.41,0,790
15761986,Espanha,Feminino,32,3,138901.61,1,Sim,75685.97,0,439
15713354,Alemanha,Feminino,22,6,101528.61,1,Sim,70529,1,597
15593454,Espanha,Feminino,40,4,113794.22,1,Sim,16618.76,0,678
15690134,Alemanha,Feminino,42,3,85679.25,1,Sim,164104.74,0,464
15767474,França,Feminino,57,9,0,3,Sim,169719.35,1,481
15785367,França,Feminino,56,4,0,1,Não,84383.22,1,651
15587507,França,Masculino,47,6,0,1,Sim,187391.02,1,850
15569764,Alemanha,Feminino,41,2,154007.21,1,Sim,158408.23,0,687
15665062,França,Masculino,19,1,110928.51,1,Sim,2766.63,0,696
15759966,Espanha,Feminino,36,5,119799.27,2,Sim,159416.58,0,612
15576352,Espanha,Feminino,57,3,0,2,Não,6057.81,0,586
15713604,Alemanha,Masculino,40,9,166776.6,2,Não,172646.88,0,425
15596797,Espanha,Masculino,43,1,0,2,Sim,145764.4,0,643
15744127,França,Feminino,37,2,0,2,Sim,3939.87,0,641
15589420,França,Feminino,40,2,101891.1,1,Sim,183044.86,0,795
15727546,França,Masculino,35,9,0,2,Sim,43075.7,0,762
15696373,França,Feminino,44,9,0,2,Não,103042.2,1,687
15656319,Espanha,Masculino,37,4,88141.1,1,Sim,109659.12,0,850
15670354,França,Feminino,62,6,0,2,Sim,136398.9,0,753
15673020,França,Feminino,49,3,204510.94,1,Não,738.88,1,678
15771139,Alemanha,Masculino,34,8,147487.23,2,Sim,66680.77,0,578
15572174,França,Masculino,29,3,148874.01,2,Não,71192.82,0,825
15674868,Espanha,Feminino,30,0,0,2,Sim,9002.8,0,696
15630244,França,Masculino,40,10,134320.23,2,Sim,150757.35,0,457
15678910,França,Feminino,30,8,141441.75,1,Sim,16278.97,0,680
15767793,França,Feminino,38,10,0,2,Sim,30498.7,0,819
15695499,França,Feminino,45,10,103821.47,2,Não,77878.62,0,510
15786717,França,Masculino,36,1,0,2,Não,8555.73,0,567
15687171,Espanha,Masculino,34,5,146679.77,1,Sim,102179.86,0,638
15647385,Espanha,Masculino,56,4,99340.83,1,Não,4523.74,1,579
15588372,Alemanha,Feminino,37,9,105489.31,1,Não,143096.49,1,715
15753754,Espanha,Feminino,34,1,0,2,Sim,97932.68,0,587
15669281,Espanha,Masculino,38,3,128718.78,1,Não,114793.45,0,711
15726960,França,Feminino,36,3,0,2,Sim,89804.83,0,741
15713845,França,Masculino,38,7,148045.68,1,Sim,175479.92,1,688
15794171,França,Feminino,45,0,134264.04,1,Sim,27822.99,1,475
15751912,França,Masculino,36,7,0,2,Não,3896.08,0,567
15729040,França,Masculino,42,2,0,2,Sim,49826.68,0,440
15585249,França,Masculino,42,6,106036.52,1,Sim,194686.78,1,741
15585768,Alemanha,Masculino,41,6,70349.48,2,Não,178074.04,0,582
15683157,França,Masculino,26,4,100446.57,1,Não,149653.81,0,613
15763704,Alemanha,Feminino,43,2,69014.49,2,Não,164621.43,0,692
15701121,França,Masculino,38,5,110641.18,1,Não,136507.69,1,521
15680141,Espanha,Feminino,35,7,147936.42,1,Sim,106785.7,0,759
